scenario,CAPEX,spec_heat_tot,spec_power_tot,CO2_captured,OPEX_bd.Fixed,OPEX_bd.Electricity,OPEX_bd.Makeup-water,OPEX_bd.Adsorbent,OPEX_bd.Sink,OPEX_bd.npv_CO2_to_sink,power_bd.capture_unit,power_bd.VacuumPump,power_bd.FanVaneAxial,power_bd.IntercooledCondensingCompressor,power_bd.SteamGenerationSystem,power_bd.WaterCoolingGenerationSystem,electricity-input,heat-input,compression-electricity-input,FOM,investment,RH,T_feed
DAC_pypsa_EE_heatpump_80_year_mean,27.330125265161573,7.895466907977482,0.9202935108616498,4705.8823529411775,17242029.78260323,23798972.85551165,2041594.756197523,18038035.03440077,0.0,423760569.82064635,0.0,0.02520943857625028,0.012569078935681504,1.1652195359019897,2.396748238996731,0.09040709477345571,0.53654844339745,2.1931852522159674,0.24760915137917275,3.1544000650048423,6.359378522637282,78.969376,6.6563134
DAC_pypsa_EE_heatpump_80_summer_mean,28.39833617187212,8.263527967819366,0.922767628024464,4705.882352941176,17751278.652934056,24572526.389751688,2169562.286212254,18839005.801045135,0.0,423760569.8206461,0.0,0.02747855411327274,0.01250862229338929,1.1662450170893695,2.5084768685129895,0.09538778709987578,0.5618185143041496,2.2954244355053794,0.24782706613149108,3.1254082185484298,6.607937847992495,75.19987,18.12703
DAC_pypsa_ES_heatpump_80_summer_mean,29.43419426126122,8.683346257887164,0.9298754256386136,4705.882352941177,18245103.943923514,25377551.26864621,1907979.4623346494,19684368.511061713,0.0,423760569.8206462,0.0,0.03389065387345939,0.012327979579331075,1.1693047987545477,2.6359169248321375,0.08347974816772508,0.5876932526211888,2.412040627190879,0.24847726973534137,3.0993041260069703,6.84896907716722,54.780857,27.364815
DAC_pypsa_ES_heatpump_80_winter_mean,27.7599580362232,7.692858478901317,0.9220342786384166,4705.882352941177,17446944.235094972,23395893.726385605,1971650.9731376448,18405691.89575162,0.0,423760569.8206462,0.0,0.026605164631907822,0.012753867463368294,1.1659145347523272,2.335244416454767,0.08713590767750433,0.5231196131983538,2.1369051330281437,0.24775683863486953,3.142465887795821,6.459395235553685,72.051575,12.483481
DAC_pypsa_ES_heatpump_80_year_mean,28.445418982361588,7.951789451098624,0.9246746935435648,4705.882352941177,17773724.471361056,23917283.260070708,1954252.3642674133,18937429.85794848,0.0,423760569.8206462,0.0,0.02899219563551043,0.012696505705661122,1.1670363882582595,2.4138455123581095,0.0859274231558326,0.5400605978317117,2.208830403082951,0.24799523250488015,3.1241804668762607,6.618893429458261,65.21942,19.449762
DAC_pypsa_FI_heatpump_80_year_mean,27.211974064494857,7.902723345286715,0.920050593583985,4705.882352941177,17185703.48496877,23809301.904182825,2032409.4798087624,17945205.502672315,0.0,423760569.8206462,0.0,0.025017940927253454,0.012533804593216458,1.1651287689683993,2.398951003386094,0.09012344153546571,0.5369080654689313,2.1952009292463095,0.24758986340578484,3.1577465574965435,6.331886215132147,79.628456,5.153931
DAC_pypsa_FI_heatpump_80_summer_mean,28.277451965504184,8.0850737742655,0.922816424901652,4705.882352941177,17693649.44773967,24206530.10954753,2108627.4656281425,18766213.485227168,0.0,423760569.8206462,0.0,0.027448716390092973,0.012592468613878029,1.1662547952596265,2.4543053066374463,0.09274595283219497,0.5497571444506425,2.245853826184861,0.24782914399267061,3.1285791713702222,6.579809604223255,73.54,17.269058
DAC_pypsa_FI_heatpump_80_winter_mean,26.53285075942341,8.130118277524371,0.9190174076807412,4705.882352941176,16861944.596391276,24247397.319449328,2025161.0389788991,17391003.34750136,0.0,423760569.8206461,0.0,0.024415341871360127,0.012118093133335908,1.1647965096760111,2.467979017783407,0.09037494877001168,0.5514135728310995,2.2583661882012143,0.24751925830615243,3.1775599141759363,6.173862711083336,88.79359,-4.7946153
DAC_pypsa_FR_heatpump_80_summer_mean,28.59762843247646,8.002774849572296,0.9256677446550206,4705.882352941177,17846287.380087916,35229954.05909353,1917610.6259703964,19062455.654226772,0.0,423760569.8206462,0.0,0.029873612425115936,0.012689548925651517,1.1674600342767105,2.429322641884528,0.0841756662903067,0.5431630622741904,2.222993013770082,0.248085257283801,3.120239047483576,6.654310665881865,62.123158,20.880777
DAC_pypsa_FR_heatpump_80_year_mean,27.81975544618266,7.7936880389007985,0.9218590868264388,4705.882352941177,17475451.492677975,34631864.67453438,2027461.7831371024,18436578.959569365,0.0,423760569.8206462,0.0,0.026504784507960653,0.012694844189288465,1.1658449292458082,2.36585224157571,0.08941148859594147,0.5300734637596413,2.164913344139111,0.24774204746473424,3.1408348514213666,6.473309345383627,73.88241,12.858692
